clearing_symbol,trading_symbol,product_type
INL,INTC,ST
KLBN1,KLBN11,ST
5ZM,ZM,ST
ADI1,ADI,OP
EQTL3,EQTL,OP
MRKC,MRK,OP
YDUQ3,YDUQ3,ST
ELET6,ELET6,OP
CIEL3,CIEL3,OP
EGIE1,EGIE3,OP
ITUB4,ITUB4,ST
PETR4,PETR4,ST
XLV,XLV,OP
ITUB4,ITUB4,OP
LRCX,LRCX,ST
ABEV3,ABEV,ST
SANB1,SANB11,OP
HYPE,HYPE3,OP
ALPH9,GOOG,ST
HYPE,HYPE3,ST
SPY,SPY,OP
ELET6,ELET6,ST
CITGR,C,OP
BBSE3,BBSE,OP
CITGR,C,ST
GOAU4,GOAU4,ST
SQ,SQ,ST
COP,COP,OP
CMIG4,CMIG4,OP
XLE,XLE,ST
KLBN1,KLBN11,OP
TSLA,TSLA,ST
UGPA3,UGPA3,OP
ROKU3,ROKU,ST
ESCOQ,QQQ,ST
VIIA3,VIIA3,ST
AMZ,AMZN,OP
QCOM,QCOM,OP
HAL,HAL,OP
BOV11,BOVA,ST
IBM,IBM,OP
PCAR3,PCAR3,ST
IWM,IWM,ST
CIEL3,CIEL3,ST
GGBR4,GGBR4,ST
MSFT,MSFT,ST
LAME4,LAME4,ST
BBDC3,BBDC3,ST
BROAD,AVGO,ST
CSNA3,CSNA,ST
XLV,XLV,ST
INDER,INDER,OP
SUZB3,SUZB,ST
ELET3,ELET3,OP
214Q1,ARKK,OP
BBDC4,BBDC4,ST
PXD,PXD,OP
BRKM5,BRKM5,OP
CMIG4,CMIG4,ST
SQ,SQ,OP
LRCX,LRCX,OP
PFEG,PFE,ST
6391,SPOT,OP
SUZB3,SUZB,OP
RADL3,RADL3,OP
U6768,SMH,ST
UNP,UNP,ST
CYRE3,CYRE3,ST
ABBV,ABBV,ST
INDER,INDER,ST
PETR3,PETR3,OP
MRFG3,MRFG,OP
USIM5,USIM5,OP
XLF,XLF,ST
BRAP4,BRAP4,OP
214Q1,ARKK,ST
EGIE1,EGIE3,ST
SP500,SPX,OP
6391,SPOT,ST
VBBR3,BRDT3,OP
XLI,XLI,ST
MULT3,MULT3,ST
PXD,PXD,ST
IBM,IBM,ST
B3SA3,B3SA3,ST
FB,FB,OP
VLO,VLO,OP
QCOM,QCOM,ST
AVGO,BROAD,OP
B3SA3,B3SA3,OP
VISA,V,OP
USIM5,USIM5,ST
IBBU,IBB,OP
SPY,SPY,ST
SHOP,SHOP,OP
0QF,MRNA,OP
SLBA,SLB,ST
TSM,TSM,OP
5ZM,ZM,OP
CRMU,CRM,OP
ELET3,ELET3,ST
PYPLV,PYPL,OP
BRKM5,BRKM5,ST
MRFG3,MRFG,ST
MGLU3,MGLU3,ST
JBSS3,JBSS3,OP
IBOV,IND,OP
PCAR3,PCAR3,OP
COP,COP,ST
BBDC3,BBDC3,OP
BBAS3,BBAS,OP
XLF,XLF,OP
VALE3,VALE3,OP
UGPA3,UGPA3,ST
ALPH9,GOOG,OP
IWM,IWM,OP
GGBR4,GGBR4,OP
MSFT,MSFT,OP
BRML3,BRML3,ST
CSAN3,CSAN3,OP
VALE3,VALE3,ST
LELEC,GE,ST
BBSE3,BBSE,ST
PETR3,PETR3,ST
BOV11,BOVA,OP
PYPLV,PYPL,ST
U6768,SMH,OP
CARN,CAR,ST
AAPL,AAPL,ST
ABEV3,ABEV,OP
INL,INTC,OP
EQTL3,EQTL,ST
DIS,DIS,ST
JBSS3,JBSS3,ST
ROKU3,ROKU,OP
MGLU3,MGLU3,OP
FB,FB,ST
EEMN,EEM,ST
BOEI,BA,OP
HAL,HAL,ST
LELEC,GE,OP
MULT3,MULT3,OP
CYRE3,CYRE3,OP
AMGG,AMGN,OP
BRAP4,BRAP4,ST
PETR4,PETR4,OP
MICR1,MU,OP
CSAN3,CSAN3,ST
IBBU,IBB,ST
XLE,XLE,OP
BROAD,AVGO,OP
BRFS3,BRFS3,ST
EMBR3,EMBR3,OP
MICR1,MU,ST
GOAU4,GOAU4,OP
VIVT3,VIVT3,ST
BOVV1,BOVV,OP
CARN,CAR,OP
RADL3,RADL3,ST
SLBA,SLB,OP
LAME4,LAME4,OP
EEMN,EEM,OP
AMGG,AMGN,ST
EMBR3,EMBR3,ST
ADI1,ADI,ST
ABBV,ABBV,OP
BRML3,BRML3,OP
YDUQ3,YDUQ3,OP
VIIA3,VIIA3,OP
BRFS3,BRFS3,OP
BBDC4,BBDC4,OP
ESCOQ,QQQ,OP
TAE11,TAEE11,ST
TSLA,TSLA,OP
XLI,XLI,OP
SHOP,SHOP,ST
TAE11,TAEE11,OP
DIS,DIS,OP
BOEI,BA,ST
UNP,UNP,OP
PFEG,PFE,OP
SANB1,SANB11,ST
CATN,CAT,ST
CSNA3,CSNA,OP
CRMU,CRM,ST
BBAS3,BBAS,ST
ITSA4,ITSA4,OP
BOVV1,BOVV,ST
CATN,CAT,OP
MRKC,MRK,ST
ITSA4,ITSA4,ST
AMZ,AMZN,ST
0QF,MRNA,ST
VISA,V,ST
VBBR3,BRDT3,ST
TSM,TSM,ST
VIVT3,VIVT3,OP
AAPL,AAPL,OP
VLO,VLO,ST